county_name,median_age,mean_savings,per_capita_income,percent_in_poverty,percent_veterans,percent_female,population_density,percent_in_nursing_homes,crime_index_PC,state,vote_for_dems_before,clinton_win
Autauga,31.7,57623,15768,15.2,11.14,51.41,60.4,2.36,457,AL,FALSE,FALSE
Baldwin,35.5,84935,16954,13.6,10.13,51.34,66.5,5.4,282,AL,FALSE,FALSE
Barbour,32.8,83656,15532,25,9.22,53.03,28.8,7.02,47,AL,FALSE,TRUE
Blount,34.5,61249,14820,15,10.07,51.15,62.4,2.36,185,AL,FALSE,FALSE
Bullock,31.7,75725,11120,33,7.08,51.16,17.6,3.31,141,AL,TRUE,TRUE
Butler,33.5,75887,12015,27.1,9.48,53.25,28.1,8.38,266,AL,FALSE,TRUE
Calhoun,32.7,76073,15162,18,12.35,52.06,190.8,5.21,560,AL,FALSE,FALSE
Chambers,34.8,40498,13887,18.8,10.52,53.17,62.1,6.15,218,AL,FALSE,TRUE
Cherokee,36.3,56386,13936,15.4,9.29,51.22,35.8,6.01,51,AL,TRUE,TRUE
Chilton,34,52230,14036,18.6,9.48,51.41,47.8,3.58,296,AL,FALSE,FALSE
Choctaw,32.9,81367,13423,25,10.34,52.54,17.6,4.16,29,AL,FALSE,TRUE
Clarke,31.7,87444,13750,24.4,9.19,52.18,22.4,5.07,105,AL,FALSE,FALSE
Cleburne,34.1,63458,14168,15.6,8.58,51.11,23.2,5,203,AL,FALSE,FALSE
Coffee,34.1,79268,17318,14.9,10.4,51.39,60.5,6.12,357,AL,FALSE,FALSE
Colbert,35.7,71629,15705,15.3,12.27,52.37,88,5.43,330,AL,TRUE,TRUE
Conecuh,34.5,49065,12876,27.4,8.9,53.07,16.6,4.02,171,AL,FALSE,TRUE
Covington,36.2,104307,13921,21.6,12.07,53.14,35.7,5.22,239,AL,FALSE,FALSE
Crenshaw,35.9,77907,13247,22.8,9.39,53.01,22.1,10.07,165,AL,FALSE,TRUE
Cullman,34.8,67879,15261,15.4,10.07,51.4,94.4,6.43,247,AL,FALSE,FALSE
Dale,29.1,43261,14569,17.2,10.15,50.05,88.9,5.11,201,AL,FALSE,FALSE
Dallas,31.1,68101,13574,34.2,10.31,54.38,48.9,5.48,794,AL,TRUE,TRUE
Elmore,32.9,55540,14789,15.9,10.45,49.22,84.3,5.29,357,AL,FALSE,FALSE
Escambia,33.9,90379,13184,24.4,11.08,51.03,38,3.12,161,AL,FALSE,FALSE
Etowah,36,69920,15324,17.9,12.35,52.6,186.8,9.34,616,AL,FALSE,TRUE
Fayette,35.6,83058,13404,18.6,9.34,52.22,28.8,11.16,113,AL,FALSE,TRUE
Franklin,35.8,107673,14777,18.1,9.24,52.18,44.7,7.39,99,AL,FALSE,TRUE
Geneva,36.4,89634,15339,19.4,10.52,51.8,41.8,3.49,142,AL,FALSE,FALSE
Greene,31.3,27496,11165,38.8,6.01,54.17,15.8,5.1,416,AL,TRUE,TRUE
Hale,31.8,65003,11509,31.4,7.36,53.35,24.7,10.34,122,AL,TRUE,TRUE
Henry,35.4,99412,14658,19.1,9.33,53.13,27.8,5.06,183,AL,FALSE,FALSE
Houston,33.1,107388,17412,18,10.34,52.5,143.5,2.59,587,AL,FALSE,FALSE
Jackson,34.6,65230,15484,16.1,11.11,52.08,45.3,3.37,250,AL,TRUE,TRUE
